video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=R6HzPhSJP-k&pp=ygUaTm9ydGggaG9sbHl3b29kIGNhbGlmb3JuaWE%3D,/@extraspacestorage,Extra Space Storage,"Storage Units in North Hollywood, CA on Vanowen St - Extra Space Storage",83,1 year,"This storage facility features a number of great amenities, including: • Storage unit sizes ranging from 5x4 storage units to 10x30 ...",2024-01-27 21:36:28.662199
/watch?v=4h9xD9Fbigw&pp=ygUaTm9ydGggaG9sbHl3b29kIGNhbGlmb3JuaWE%3D,/@ThinkRealEstate,Think Real Estate,"6208 Ben Ave. North Hollywood, CA 91606 Think Real Estate",1.8K,3 years,"Great opportunity in NOHO! This charming 1940's house is just a 2-minute walk to the shops and restaurants at NOHO WEST, ...",2024-01-27 21:36:28.665062
/watch?v=lXQnw0KIYu8&pp=ygUaTm9ydGggaG9sbHl3b29kIGNhbGlmb3JuaWE%3D,/@PacificListings,PacificListings,"PL10001 - Remodeled Upper 1 Bed + 1 Bath Apartment for Rent (North Hollywood, CA)",236,1 year,"Pacific Listings is proud to present this Remodeled Upper Middle 1+1 w/ PARKING, A/C, Laundry, POOL, Faux Hardwood, PET ...",2024-01-27 21:36:28.667826
/watch?v=232q7ycicXY&pp=ygUaTm9ydGggaG9sbHl3b29kIGNhbGlmb3JuaWE%3D,/@codemanstravels,Codeman's Travels,"Famous Celebrities Graves at Valhalla Memorial Park in North Hollywood, California",5.7K,1 year,"Famous Celebrities Graves at Valhalla Memorial Park in North Hollywood, California.",2024-01-27 21:36:28.671938
/watch?v=ytq4n7QKQLk&pp=ygUaTm9ydGggaG9sbHl3b29kIGNhbGlmb3JuaWE%3D,/@CorrieSommersLuxuryRealtor,"Corrie Sommers, Luxury Realtor",North Hollywood CA a History and Real Estate with Luxury Realtor Corrie Sommers.,260,3 years,North Hollywood CA a History and Real Estate with Luxury Realtor Corrie Sommers. 31 Neighborhood Videos in 31 Days.,2024-01-27 21:36:28.675928
/watch?v=cv5oiqV87DQ&pp=ygUaTm9ydGggaG9sbHl3b29kIGNhbGlmb3JuaWE%3D,/@superiorkarco4943,SuperiorKar Co,2019 Chevrolet Colorado Work Truck 4 D TRUCKS IN NORTH HOLLYWOOD CA #superiorkarco #chevycolorado,33,3 weeks,2019 Chevrolet Colorado Work Truck 4-Door Truck #chevy #trucks #commercialvans #commercialtrucks That's right!!! CARGO ...,2024-01-27 21:36:28.678697
/watch?v=HFxxCE4_0kQ&pp=ygUaTm9ydGggaG9sbHl3b29kIGNhbGlmb3JuaWE%3D,/@KTLA5,KTLA 5,Elementary school Pride protest in North Hollywood turns violent,631K,7 months,"At Saticoy Elementary School in North Hollywood, controversy over a scheduled Pride event came to a head Friday morning when ...",2024-01-27 21:36:28.681796
/watch?v=Oqrx5jdnuHc&pp=ygUaTm9ydGggaG9sbHl3b29kIGNhbGlmb3JuaWE%3D,/@AptsForRent,ForRent.com,"NoHo Apartments in North Hollywood, CA - ForRent.com",2K,9 years,"NoHo Apartments for rent in North Hollywood, CA on ForRent.com: (866) 460-6559 ...",2024-01-27 21:36:28.685167
/watch?v=-ecbqm-KQ9c&pp=ygUaTm9ydGggaG9sbHl3b29kIGNhbGlmb3JuaWE%3D,/@RuskiOperator,RuskiOperator,𝐍𝐨𝐫𝐭𝐡 𝐇𝐨𝐥𝐥𝐲𝐰𝐨𝐨𝐝 𝟏𝟗𝟗𝟕,1.1M,1 year,The North Hollywood shootout was a really interesting event in American Police History. Would highly recommend you guys do ...,2024-01-27 21:36:28.687980
/watch?v=PHL1xa2b33M&pp=ygUaTm9ydGggaG9sbHl3b29kIGNhbGlmb3JuaWE%3D,/@thebaraschgroup1935,TheBaraschGroup,"11565 Huston St, North Hollywood, Ca 91601",419,3 years,Listed by Michael Barasch with Rodeo Realty.,2024-01-27 21:36:28.690720
/watch?v=q5GyovJasnU&pp=ygUaTm9ydGggaG9sbHl3b29kIGNhbGlmb3JuaWE%3D,/@braumreleasing6633,BRAUM RE LEASING,"11459 Collins St Unit 212, North Hollywood, CA 91601",123,1 month,To apply visit rentbraum.com.,2024-01-27 21:36:28.693323
/watch?v=WlKo1m81qK8&pp=ygUaTm9ydGggaG9sbHl3b29kIGNhbGlmb3JuaWE%3D,/@Foxla,FOX 11 Los Angeles,"1 dead, another seriously hurt after shooting at a North Hollywood hookah lounge",9.6K,1 year,One person is dead and another is fighting for their life at the hospital after a shooting broke out at a North Hollywood shopping ...,2024-01-27 21:36:28.696150
/watch?v=hPumDKhdjm8&pp=ygUaTm9ydGggaG9sbHl3b29kIGNhbGlmb3JuaWE%3D,/@cbadgers2235,CBadgers223,1997 North Hollywood Shootout rare footage,68K,3 years,"February 28th, 1997 two bank robbers Larry Phillips and Emil Matasareanu robbed a Bank of America and what followed was the ...",2024-01-27 21:36:28.699007
/watch?v=donteAddKM4&pp=ygUaTm9ydGggaG9sbHl3b29kIGNhbGlmb3JuaWE%3D,/@DONEUEMF,DONEUEMF,CLANTON 14 NORTH HOLLYWOOD L.A. GANG CALIFORNIA,249K,14 years,HERES A CLIP OF A NEWS SPECIAL ABOUT KIDS IN GANGS IN L.A. CALIFORNIA FOCUSING ON THE CLANTON 14 GANG.,2024-01-27 21:36:28.701841
